Height,Northern_Gannet,Black_Legged_Kittiwake
263,2.25E-20,7.53E-19
264,1.59E-20,5.50E-19
265,1.13E-20,4.01E-19
266,7.95E-21,2.91E-19
267,5.59E-21,2.11E-19
268,3.92E-21,1.53E-19
269,2.74E-21,1.10E-19
270,1.91E-21,7.92E-20
271,1.33E-21,5.69E-20
272,9.22E-22,4.07E-20
273,6.38E-22,2.91E-20
274,4.40E-22,2.07E-20
275,3.02E-22,1.47E-20
276,2.07E-22,1.04E-20
277,1.42E-22,7.35E-21
278,9.64E-23,5.17E-21
279,6.55E-23,3.63E-21
280,4.44E-23,2.55E-21
281,2.99E-23,1.78E-21
282,2.02E-23,1.24E-21
283,1.35E-23,8.61E-22
284,9.05E-24,5.96E-22
285,6.03E-24,4.12E-22
286,4.01E-24,2.84E-22
287,2.66E-24,1.95E-22
288,1.75E-24,1.33E-22
289,1.15E-24,9.10E-23
290,7.57E-25,6.19E-23
291,4.95E-25,4.20E-23
292,3.23E-25,2.84E-23
293,2.10E-25,1.92E-23
294,1.36E-25,1.29E-23
295,8.76E-26,8.65E-24
296,5.64E-26,5.78E-24
297,3.61E-26,3.85E-24
298,2.31E-26,2.56E-24
299,1.47E-26,1.69E-24
300,9.31E-27,1.12E-24
301,9.31E-27,1.12E-24
302,9.31E-27,1.12E-24
303,9.31E-27,1.12E-24
